epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,164.92,0.98107,1.34369,0.91674,0.82554,0.83333,0.83867,0.62176,1.27844,1.19631,1.63172,0.000284,0.000284,0.000284
106,166.304,1.06453,1.49417,0.98524,0.82554,0.83333,0.83867,0.62176,1.27844,1.19631,1.63172,0.0002675,0.0002675,0.0002675
107,167.7,0.90908,1.33339,0.88521,0.82776,0.83333,0.86409,0.65364,1.26214,1.13465,1.60557,0.000251,0.000251,0.000251
108,169.08,0.97959,1.44287,0.95605,0.82776,0.83333,0.86409,0.65364,1.26214,1.13465,1.60557,0.0002345,0.0002345,0.0002345
109,170.501,1.10809,1.49768,1.00201,0.82824,0.83333,0.86167,0.65097,1.26159,1.11822,1.60611,0.000218,0.000218,0.000218
110,171.893,0.96734,1.38829,0.96671,0.82824,0.83333,0.86167,0.65097,1.26159,1.11822,1.60611,0.0002015,0.0002015,0.0002015
111,173.412,1.21901,2.60354,1.05985,0.82861,0.83333,0.86167,0.68057,1.22094,1.09016,1.60108,0.000185,0.000185,0.000185
112,174.75,1.12283,2.50105,0.9389,0.82861,0.83333,0.86167,0.68057,1.22094,1.09016,1.60108,0.0001685,0.0001685,0.0001685
113,176.109,1.09251,2.69723,0.97201,0.82933,0.83333,0.85962,0.63995,1.1996,1.08669,1.60724,0.000152,0.000152,0.000152
114,177.487,1.01334,2.41832,0.95175,0.82933,0.83333,0.85962,0.63995,1.1996,1.08669,1.60724,0.0001355,0.0001355,0.0001355
115,178.912,1.06693,2.43414,1.028,0.82975,0.83333,0.85633,0.63353,1.26501,1.0817,1.65457,0.000119,0.000119,0.000119
116,180.2,1.15264,2.53764,0.99945,0.82975,0.83333,0.85633,0.63353,1.26501,1.0817,1.65457,0.0001025,0.0001025,0.0001025
117,181.558,0.87497,2.30616,0.92503,0.8294,0.83333,0.85311,0.59125,1.34131,1.14098,1.65617,8.6e-05,8.6e-05,8.6e-05
118,182.923,0.96557,2.35236,1.02316,0.8294,0.83333,0.85311,0.59125,1.34131,1.14098,1.65617,6.95e-05,6.95e-05,6.95e-05
119,184.279,0.92925,2.36133,0.94999,0.82959,0.83333,0.85155,0.59201,1.35973,1.17693,1.63836,5.3e-05,5.3e-05,5.3e-05
120,185.575,1.03336,2.32809,0.9603,0.82959,0.83333,0.85155,0.59201,1.35973,1.17693,1.63836,3.65e-05,3.65e-05,3.65e-05
